Comparación 1 a 1 de tokens de la colección Vaswani:
Stems iguales: 7128 | Stems diferentes: 5061
------------------------------------------------------------------------------------------
Token                     Porter               Lancaster           
caried                    cari                 cary                
carinae                   carina               carina              
carious                   cariou               cary                
carnauba                  carnauba             carnaub             
carnot                    carnot               carnot              
carpet                    carpet               carpet              
carried                   carri                carry               
carrier                   carrier              carry               
carriers                  carrier              carry               
carries                   carri                carry               
carry                     carri                carry               
carryii                   carryii              carryi              
carrying                  carri                carry               
cartesian                 cartesian            cartes              
cartwright                cartwright           cartwright          
cartwrights               cartwright           cartwright          
carved                    carv                 carv                
carying                   cari                 cary                
cas                       ca                   cas                 
casablanca                casablanca           casablanc           
cascade                   cascad               cascad              
cascaded                  cascad               cascad              
cascades                  cascad               cascad              
cascading                 cascad               cascad              
cascode                   cascod               cascod              
case                      case                 cas                 
cases                     case                 cas                 
cassiopeia                cassiopeia           cassiope            
cast                      cast                 cast                
catalogue                 catalogu             catalog             
catalytic                 catalyt              catalys             
catching                  catch                catch               
catenary                  catenari             cat                 
catering                  cater                cat                 
cathode                   cathod               cathod              
cathodes                  cathod               cathod              
cathodic                  cathod               cathod              
cathoguard                cathoguard           cathoguard          
cation                    cation               cat                 
caton                     caton                caton               
cats                      cat                  cat                 
caucer                    caucer               cauc                
cauchys                   cauchi               cauchy              
cauer                     cauer                cau                 
cauers                    cauer                cau                 
causative                 caus                 caus                
cause                     caus                 caus                
caused                    caus                 caus                
causes                    caus                 caus                
causing                   caus                 caus                
caustic                   caustic              caust               
cavendish                 cavendish            cavend              
cavities                  caviti               cav                 
cavity                    caviti               cav                 
cayley                    cayley               cayley              
ccir                      ccir                 ccir                
ccurring                  ccur                 ccur                
cdecoding                 cdecod               cdecod              
cds                       cd                   cds                 
cdse                      cdse                 cdse                
ce                        ce                   ce                  
cease                     ceas                 ceas                
ceases                    ceas                 ceas                
ced                       ced                  ced                 
cedar                     cedar                ced                 
cede                      cede                 ced                 
ceiling                   ceil                 ceil                
celar                     celar                cel                 
celestial                 celesti              celest              
cell                      cell                 cel                 
cells                     cell                 cel                 
cellular                  cellular             cellul              
celoscope                 celoscop             celoscop            
cenisse                   ceniss               ceniss              
cent                      cent                 cent                
centaurus                 centauru             centaur             
centenary                 centenari            cent                
centered                  center               cent                
centimeter                centimet             centimet            
centimeters               centimet             centimet            
centimetre                centimetr            centimet            
centimetres               centimetr            centimet            
centimetric               centimetr            centimet            
central                   central              cent                
centrally                 central              cent                
centre                    centr                cent                
centred                   centr                cent                
centres                   centr                cent                
centrifugal               centrifug            centrifug           
centring                  centr                cent                
centroid                  centroid             centroid            
centuries                 centuri              century             
century                   centuri              century             
ceramic                   ceram                ceram               
ceramics                  ceram                ceram               
ceremic                   cerem                cerem               
cerendov                  cerendov             cerendov            
cerenkov                  cerenkov             cerenkov            
certain                   certain              certain             
certainly                 certainli            certain             
certainty                 certainti            certainty           
cesium                    cesium               ces                 
cessation                 cessat               cess                
ceylon                    ceylon               ceylon              
chain                     chain                chain               
chains                    chain                chain               
chakrabarty               chakrabarti          chakrabarty         
chalmers                  chalmer              chalm               
chamber                   chamber              chamb               
chambers                  chamber              chamb               
chameleon                 chameleon            chameleon           
chance                    chanc                chant               
chande                    chand                chand               
chandrasekhar             chandrasekhar        chandrasekh         
chandrasekhars            chandrasekhar        chandrasekh         
change                    chang                chang               
changed                   chang                chang               
changers                  changer              chang               
changes                   chang                chang               
changing                  chang                chang               
channel                   channel              channel             
channels                  channel              channel             
chapman                   chapman              chapm               
chapmans                  chapman              chapm               
chapter                   chapter              chapt               
chapters                  chapter              chapt               
character                 charact              charact             
characteristic            characterist         charact             
characteristically        characterist         charact             
characteristics           characterist         charact             
characterization          character            charact             
characterize              character            charact             
characterized             character            charact             
characterizing            character            charact             
characters                charact              charact             
charge                    charg                charg               
charged                   charg                charg               
charges                   charg                charg               
charging                  charg                charg               
charlier                  charlier             char                
chart                     chart                chart               
charts                    chart                chart               
chassis                   chassi               chass               
chatterjee                chatterje            chatters            
cheap                     cheap                cheap               
cheaper                   cheaper              cheap               
chebychev                 chebychev            chebychev           
chebyshev                 chebyshev            chebyshev           
check                     check                check               
checked                   check                check               
checking                  check                check               
checks                    check                check               
chelmsford                chelmsford           chelmsford          
cheltenham                cheltenham           cheltenham          
chemi                     chemi                chem                
chemical                  chemic               chem                
chemically                chemic               chem                
chemie                    chemi                chemy               
chemistry                 chemistri            chem                
chen                      chen                 chen                
cherenkov                 cherenkov            cherenkov           
chernovs                  chernov              chernov             
chesterfield              chesterfield         chesterfield        
chf                       chf                  chf                 
chicago                   chicago              chicago             
chief                     chief                chief               
chiefly                   chiefli              chief               
child                     child                child               
childs                    child                child               
chimbote                  chimbot              chimbot             
chimneys                  chimney              chimney             
chinese                   chines               chines              
chivers                   chiver               chiv                
chladnis                  chladni              chladnis            
chloride                  chlorid              chloride            
chlorinated               chlorin              chlorinated         
chlorine                  chlorin              chlorine            
chlorobenzene             chlorobenzen         chlorobenzene       
chloroethane              chloroethan          chloroethane        
choice                    choic                cho                 
choke                     choke                chok                
chokes                    choke                chok                
choose                    choos                choos               
choosing                  choos                choos               
chop                      chop                 chop                
chopped                   chop                 chop                
chopper                   chopper              chop                
choppers                  chopper              chop                
chopping                  chop                 chop                
chord                     chord                chord               
chorus                    choru                chor                
chosen                    chosen               chos                
christchurch              christchurch         christchurch        
christiansen              christiansen         christiansen        
christoffel               christoffel          christoffel         
chromatic                 chromat              chromatic           
chromaticity              chromat              chromaticity        
chrome                    chrome               chrome              
chromel                   chromel              chromel             
chromicyanide             chromicyanid         chromicyanide       
chromium                  chromium             chromium            
chromosphere              chromospher          chromosphere        
chromospheres             chromospher          chromospheres       
chromospheric             chromospher          chromospheric       
chronograph               chronograph          chronograph         
chronological             chronolog            chronological       
chu                       chu                  chu                 
chubb                     chubb                chub                
churchill                 churchil             churchil            
chus                      chu                  chu                 
ci                        ci                   ci                  
cinema                    cinema               cinem               
circle                    circl                circ                
circles                   circl                circ                
circuit                   circuit              circuit             
circuited                 circuit              circuit             
circuiting                circuit              circuit             
circuitry                 circuitri            circuitry           
circuits                  circuit              circuit             
circular                  circular             circul              
circularly                circularli           circul              
circulated                circul               circ                
circulates                circul               circ                
circulating               circul               circ                
circulation               circul               circ                
circulations              circul               circ                
circulator                circul               circ                
circulators               circul               circ                
circumference             circumfer            circumf             
circumferential           circumferenti        circumf             
circumpolar               circumpolar          circumpol           
circumscribed             circumscrib          circumscrib         
circumstance              circumst             circumst            
circumstances             circumst             circumst            
cirrus                    cirru                cirr                
cislunar                  cislunar             cislun              
cited                     cite                 cit                 
ck                        ck                   ck                  
cl                        cl                   cl                  
clad                      clad                 clad                
clamp                     clamp                clamp               
clamped                   clamp                clamp               
clamping                  clamp                clamp               
clapp                     clapp                clap                
clare                     clare                clar                
clarification             clarif               clar                
clarified                 clarifi              clar                
clarify                   clarifi              clar                
clarity                   clariti              clar                
clas                      cla                  cla                 
class                     class                class               
classed                   class                class               
classes                   class                class               
classical                 classic              class               
classicas                 classica             classica            
classification            classif              class               
classified                classifi             class               
classify                  classifi             class               
classifying               classifi             class               
clay                      clay                 clay                
clean                     clean                cle                 
cleaning                  clean                cle                 
cleanliness               cleanli              cle                 
clear                     clear                clear               
cleared                   clear                clear               
clearest                  clearest             clearest            
clearly                   clearli              clear               
cleft                     cleft                cleft               
clegg                     clegg                cleg                
cleland                   cleland              cleland             
clemmow                   clemmow              clemmow             
clerical                  cleric               cler                
clf                       clf                  clf                 
clickless                 clickless            clickless           
climate                   climat               clim                
climates                  climat               clim                
climatic                  climat               clim                
climatology               climatolog           climatolog          
clipper                   clipper              clip                
clipping                  clip                 clip                
clock                     clock                clock               
clocking                  clock                clock               
clocks                    clock                clock               
clockwise                 clockwis             clockw              
close                     close                clos                
closed                    close                clos                
closely                   close                clos                
closeness                 close                clos                
closer                    closer               clos                
closing                   close                clos                
closs                     closs                closs               
cloth                     cloth                clo                 
cloud                     cloud                cloud               
clouds                    cloud                cloud               
cluster                   cluster              clust               
clustering                cluster              clust               
clusters                  cluster              clust               
clutch                    clutch               clutch              
clutches                  clutch               clutch              
cm                        cm                   cm                  
cn                        cn                   cn                  
co                        co                   co                  
coast                     coast                coast               
coastal                   coastal              coast               
coasts                    coast                coast               
coated                    coat                 coat                
coates                    coat                 coat                
coating                   coat                 coat                
coatings                  coat                 coat                
coaxial                   coaxial              coax                
coaxially                 coaxial              coax                
cobalt                    cobalt               cobalt              
cocci                     cocci                cocc                
cockcroft                 cockcroft            cockcroft           
code                      code                 cod                 
coded                     code                 cod                 
codes                     code                 cod                 
coding                    code                 cod                 
coe                       coe                  coe                 
coefficient               coeffici             coefficy            
coefficients              coeffici             coefficy            
coeficcient               coeficci             coeficcy            
coercive                  coerciv              coerc               
coexistence               coexist              coex                
coexistent                coexist              coex                
cohen                     cohen                coh                 
coherence                 coher                coh                 
coherency                 coher                coh                 
coherent                  coher                coh                 
coherently                coher                coh                 
cohesive                  cohes                coher               
cohns                     cohn                 cohn                
coil                      coil                 coil                
coiled                    coil                 coil                
coils                     coil                 coil                
coin                      coin                 coin                
coincide                  coincid              coincid             
coincided                 coincid              coincid             
coincidence               coincid              coincid             
coincidences              coincid              coincid             
coincident                coincid              coincid             
coincides                 coincid              coincid             
coinciding                coincid              coincid             
colaba                    colaba               colab               
colarado                  colarado             colarado            
cold                      cold                 cold                
coleman                   coleman              colem               
colimated                 colim                colim               
colin                     colin                colin               
collaboration             collabor             collab              
collapsed                 collaps              collaps             
collect                   collect              collect             
collected                 collect              collect             
collecting                collect              collect             
collection                collect              collect             
collective                collect              collect             
collector                 collector            collect             
collectors                collector            collect             
college                   colleg               colleg              
collide                   collid               collid              
colliding                 collid               collid              
collie                    colli                col                 
collimator                collim               collim              
collinear                 collinear            collinear           
collision                 collis               collid              
collisional               collision            collid              
collisionless             collisionless        collisionless       
collisions                collis               collid              
colloid                   colloid              colloid             
colloidal                 colloid              colloid             
colloquium                colloquium           colloqu             
collrvyive                collrvyiv            collrvy             
colombus                  colombu              colomb              
color                     color                col                 
colorado                  colorado             colorado            
colorimeter               colorimet            colorimet           
colour                    colour               colo                
colours                   colour               colo                
colpitts                  colpitt              colpit              
coltage                   coltag               colt                
columbium                 columbium            columb              
columbus                  columbu              columb              
column                    column               column              
columnar                  columnar             column              
columns                   column               column              
com                       com                  com                 
coma                      coma                 com                 
comb                      comb                 comb                
combinatifs               combinatif           combin              
combination               combin               combin              
combinational             combin               combin              
combinations              combin               combin              
combine                   combin               combin              
combined                  combin               combin              
combines                  combin               combin              
combining                 combin               combin              
combustion                combust              combust             
come                      come                 com                 
comes                     come                 com                 
comet                     comet                comet               
cometary                  cometari             comet               
coming                    come                 com                 
comings                   come                 com                 
command                   command              command             
commands                  command              command             
commemorates              commemor             commem              
commence                  commenc              com                 
commencement              commenc              com                 
commencements             commenc              com                 
commencing                commenc              com                 
comment                   comment              com                 
comments                  comment              com                 
commerce                  commerc              commerc             
commercial                commerci             commerc             
commercially              commerci             commerc             
commets                   commet               commet              
commission                commiss              commit              
committee                 committe             commit              
commmon                   commmon              commmon             
common                    common               common              
commoner                  common               common              
commonly                  commonli             common              
communicated              commun               commun              
communication             commun               commun              
communications            commun               commun              
commutating               commut               commut              
commutation               commut               commut              
commutator                commut               commut              
commutators               commut               commut              
compact                   compact              compact             
compactness               compact              compact             
compagnie                 compagni             compagny            
companion                 companion            comp                
company                   compani              company             
comparable                compar               comp                
comparative               compar               comp                
comparatively             compar               comp                
comparator                compar               comp                
comparators               compar               comp                
compare                   compar               comp                
compared                  compar               comp                
compares                  compar               comp                
comparing                 compar               comp                
comparison                comparison           comparison          
comparisons               comparison           comparison          
compasses                 compass              compass             
compatibility             compat               compat              
compatible                compat               compat              
compenated                compen               comp                
compensate                compens              compens             
compensated               compens              compens             
compensates               compens              compens             
compensating              compens              compens             
compensation              compens              compens             
competitive               competit             competit            
compilation               compil               compil              
compiled                  compil               compil              
complelt                  complelt             complelt            
complement                complement           compl               
complementary             complementari        compl               
complementing             complement           compl               
complements               complement           compl               
complete                  complet              complet             
completed                 complet              complet             
completely                complet              complet             
completeness              complet              complet             
completes                 complet              complet             
completing                complet              complet             
complex                   complex              complex             
complexities              complex              complex             
complexity                complex              complex             
complicated               complic              comply              
complication              complic              comply              
complications             complic              comply              
component                 compon               compon              
components                compon               compon              
composed                  compos               compos              
composing                 compos               compos              
composite                 composit             composit            
composition               composit             composit            
compositions              composit             composit            
compound                  compound             compound            
compounds                 compound             compound            
comprehensive             comprehens           comprehend          
compress                  compress             compress            
compressed                compress             compress            
compressible              compress             compress            
compressing               compress             compress            
compression               compress             compress            
compressional             compression          compress            
compressor                compressor           compress            
comprise                  compris              compr               
comprised                 compris              compr               
comprises                 compris              compr               
comprising                compris              compr               
comprison                 comprison            comprison           
compromise                compromis            comprom             
compters                  compter              compt               
compu                     compu                compu               
computation               comput               comput              
computational             comput               comput              
computationally           comput               comput              
computations              comput               comput              
compute                   comput               comput              
computed                  comput               comput              
computer                  comput               comput              
computers                 comput               comput              
computes                  comput               comput              
computing                 comput               comput              
computor                  computor             comput              
comrarison                comrarison           comrarison          
comtrol                   comtrol              comtrol             
comutators                comut                comut               
con                       con                  con                 
concave                   concav               concav              
concavity                 concav               concav              
conceivable               conceiv              conceiv             
conceived                 conceiv              conceiv             
concentrated              concentr             cont                
concentrating             concentr             cont                
concentration             concentr             cont                
concentrations            concentr             cont                
concentric                concentr             cont                
concept                   concept              conceiv             
conception                concept              conceiv             
concepts                  concept              conceiv             
conceptual                conceptu             conceiv             
concern                   concern              concern             
concerned                 concern              concern             
concerning                concern              concern             
concerns                  concern              concern             
concertina                concertina           concertin           
concise                   concis               cont                
concluded                 conclud              conclud             
conclusion                conclus              conclud             
conclusions               conclus              conclud             
conclusive                conclus              conclud             
conclusively              conclus              conclud             
concordance               concord              concord             
concurrent                concurr              concur              
condductivity             condduct             condduc             
condductors               condductor           condduc             
condensation              condens              condens             
condensed                 condens              condens             
condenser                 condens              condens             
condensers                condens              condens             
condition                 condit               condit              
conditional               condit               condit              
conditionally             condit               condit              
conditioning              condit               condit              
conditions                condit               condit              
condon                    condon               condon              
conducing                 conduc               conduc              
conduct                   conduct              conduc              
conductance               conduct              conduc              
conductances              conduct              conduc              
conducted                 conduct              conduc              
conducting                conduct              conduc              
conduction                conduct              conduc              
conductive                conduct              conduc              
conductivities            conduct              conduc              
conductivity              conduct              conduc              
conductor                 conductor            conduc              
conductors                conductor            conduc              
cone                      cone                 con                 
cones                     cone                 con                 
conf                      conf                 conf                
conference                confer               conf                
configuration             configur             config              
configurational           configur             config              
configurations            configur             config              
confine                   confin               confin              
confined                  confin               confin              
confinement               confin               confin              
confining                 confin               confin              
confirm                   confirm              confirm             
confirmation              confirm              confirm             
confirmed                 confirm              confirm             
confirming                confirm              confirm             
confirms                  confirm              confirm             
conflict                  conflict             conflict            
conflicting               conflict             conflict            
conflicts                 conflict             conflict            
confluent                 confluent            conflu              
confocal                  confoc               confoc              
conform                   conform              conform             
conformal                 conform              conform             
conformity                conform              conform             
conforms                  conform              conform             
confusion                 confus               confus              
congo                     congo                congo               
congress                  congress             congress            
congruent                 congruent            congru              
conical                   conic                con                 
conjecture                conjectur            conject             
conjugate                 conjug               conjug              
conjugately               conjug               conjug              
conjunction               conjunct             conjunct            
conjunctive               conjunct             conjunct            
connect                   connect              connect             
connected                 connect              connect             
connecting                connect              connect             
connection                connect              connect             
connections               connect              connect             
connexion                 connexion            connect             
consecutive               consecut             consecut            
consequence               consequ              consequ             
consequences              consequ              consequ             
consequent                consequ              consequ             
consequently              consequ              consequ             
conservation              conserv              conserv             
conservations             conserv              conserv             
conservative              conserv              conserv             
considerable              consider             consid              
considerably              consider             consid              
consideration             consider             consid              
considerations            consider             consid              
considered                consid               consid              
considering               consid               consid              
consist                   consist              consist             
consisted                 consist              consist             
consistency               consist              consist             
consistens                consisten            consist             
consistent                consist              consist             
consistently              consist              consist             
consisting                consist              consist             
consists                  consist              consist             
consolidation             consolid             consolid            
consonant                 conson               conson              
const                     const                const               
constancy                 constanc             const               
constant                  constant             const               
constantan                constantan           const               
constants                 constant             const               
constituent               constitu             constitu            
constituents              constitu             constitu            
constitute                constitut            constitut           
constituted               constitut            constitut           
constitutes               constitut            constitut           
constituting              constitut            constitut           
constitution              constitut            constitut           
constitutive              constitut            constitut           
constrained               constrain            constrain           
constraint                constraint           constraint          
constraints               constraint           constraint          
constriction              constrict            constrict           
constrictive              constrict            constrict           
construct                 construct            construct           
constructed               construct            construct           
constructing              construct            construct           
construction              construct            construct           
constructional            construct            construct           
constructions             construct            construct           
construed                 constru              constru             
constucting               constuct             constuct            
consumes                  consum               consum              
consumption               consumpt             consum              
conta                     conta                cont                
contact                   contact              contact             
contactless               contactless          contactless         
contacts                  contact              contact             
contain                   contain              contain             
